  00433EEF72      FF105FFD0A   
  FFC448B976      0037C22500   
  003940E753      FF4E991233   
  FFDDB4BA88      FFA3415ED8   
  008081BC42      0092639160   
  FFD90B511E      FF3E3C022E   
  0047DB43D2      FF0FC4BE3B   
  FF980F5DFE      01635D9D25   
  0044EBAE64      FF33A8F4F3   
  00463FD6DC      FFA985E324   
  0063F3F695      FFF42B1440   
  FFD5658113      FF7EDC6CA1   
  FFF5F3AD9A      005AF8296A   
  00909FACE2      FF6BCE156C   
  0035235D26      003B0D54FC   
  0007BF3342      FFED805EC2   
  003FC5D012      FF62A25F42   
  FFDC46E57E      FFB8C850A1   
  FF5EEFF456      FFBE5282B1   
  004AD9D162      00C6ADA82B   
  FFC8E73762      0012718FCA   
  009DBE1717      FF740982C8   
  0021DC844A      00963CACFA   
  005A93F59F      FF40EFACF3   
  FFF01B7644      FF438FE7EC   
  FF8EFA979C      FF4D7D7663   
  FFAF8790B1      FF92430054   
  0063F5F61F      0088852EA7   
  0093B58D0D      002194476D   
  FFF923AB0D      007CAC917A   
  0097CC24FB      FFFB05B2ED   
  FFF70E8C53      0032C61C1D   
  FFF73F9BC4      FFAE37A268   
  005FDDA9E3      FFCB3ED7F3   
  000F635CBE      00674B4498   
  00506B5122      FFCF782B41   
  FFEC03BA1D      003EE94784   
  FFDDD0E607      00084AAEE7   
  006126544C      00453B14CE   
  003DA3495C      00851C05DE   
  002B31E30F      FFB828E0E3   
  0045FF7732      003FDC396C   
  FF851A0279      FF5D1B016D   
  0028AE8B7E      001C0E91C6   
  00270E71C9      FFC0E71AFA   
  00180647EA      00ED45670E   
  0092457A80      FF9ED0A331   
  FF69E03DF0      0006EA07C5   
  FF4CA94E2D      006D3B09D3   
  00123E5F7E      003C2C83A9   
  FFEF59C237      FFC5A8792E   
  FFE4096611      00454BA8DF   
  001483462F      FF7AE0861D   
  007516D5F7      00892442D9   
  FFD8520D5F      004BA74A36   
  0061870159      0025D65299   
  002A18CCF8      FF86C44A5C   
  00083ABD66      FFCC1915CD   
  FFBF023300      00479F44EA   
  00088A788B      00B33A3258   
  000AB800F4      FFAAFE74D8   
  0028E39753      0049C246E5   
  FFEF7A0757      FFD68AC90C   
  FFB5E9497D      004E3981B8   
  0026DA2F16      FF71387AE1   
  000218F049      007B41037D   
  FFF4915281      FFB7350EF6   
  002932F7E9      00000CD287   
  0008D1B898      0034B7294F   
  FFCC827EA6      0054C9C369   
  007F2BB158      FF9B7556AD   
  001E714547      FFE490CCD7   
  0027F7856C      FFFC5AC4A5   
  FFB55C94B2      0005B2FCBF   
  FF6E2445B0      FFA0FC72F6   
  00359AF0B8      FFF0D859A8   
  001E770C92      00208D77D6   
  000BDC7669      007F4D95CD   
  001BD5D02F      FF1F9B8F3A   
  FFCF443A78      FFEF44CD99   
  FFE80848EC      00423F2556   
  0064AB59CF      003CBF963A   
  0016CF8FC6      FF67444F6F   
  003BD31578      FFE01ECF97   
  FFC60028C9      001C39A41F   
  FFDAC2006B      006142083E   
  000AB0FF05      FFDF9FC368   
  000819FF15      FFAF60D7B8   
  FFE8E4C46D      007610236B   
  FFCD41B501      0043B0C248   
  0018FEFB05      FF9B5F110B   
  FFCC0A9C90      000C120CE0   
  00270B57AC      00290CE758   
  00174B9864      FFC4661BBE   
  00014EF36A      FF955E3434   
  00061BCEE6      003A68BEAA   
  FFFC8C03EE      003EF1758C   
  000591D2E0      0029CC6C16   
  FFFBC9A122      FFF13515C8   
  FFFF6297DC      000D4E10A8   
  FFFDB83B43      0010AC1F71   
  0002DC8800      0008E7AAA3   
  FFFF990C00      FFFBF1985C   
  FFFF2DC400      00004007F4   
